date,location_code,measure,value
2022-09-18,UK043,upper_ci_values,1004.5600625076706
2022-09-18,UK048,upper_ci_values,1004.5600625076706
2022-09-24,UK050,upper_ci_values,1016.8892143863702
2022-10-06,UK049,upper_ci_values,1042.3333998702012
2016-12-03,UK049,lower_ci_values,539.0079525627085
2016-12-18,UK043,lower_ci_values,581.5756910746225
2017-01-14,UK050,lower_ci_values,652.9742564749702
2017-01-15,UK020,lower_ci_values,655.4836801970503
2017-01-20,UK048,lower_ci_values,667.8811427430873
2017-04-02,UK043,lower_ci_values,816.5063285231203
2017-04-03,UK048,lower_ci_values,818.1481105029924
2017-04-08,UK050,lower_ci_values,826.172455185187
2017-04-09,UK020,lower_ci_values,827.7402412292488
2017-06-10,UK049,lower_ci_values,900.0165707566221
2017-06-12,UK048,lower_ci_values,901.5181817710296
2017-06-18,UK043,lower_ci_values,905.713588126682
2017-07-08,UK050,lower_ci_values,916.4240630509014
2017-07-09,UK020,lower_ci_values,916.830658213676
2017-09-16,UK049,lower_ci_values,918.6011004698266
2017-09-16,UK020,lower_ci_values,918.6011004698266
2017-09-16,UK050,lower_ci_values,918.6011004698266
2017-09-17,UK043,lower_ci_values,918.2920591446112
2017-10-13,UK048,lower_ci_values,907.597975914889
2017-12-16,UK050,lower_ci_values,864.9558453690424
2017-12-17,UK043,lower_ci_values,864.1635604004881
2018-01-14,UK020,lower_ci_values,841.0545832680061
2018-01-15,UK048,lower_ci_values,840.2019647303135
2018-02-24,UK049,lower_ci_values,804.0625281808177
2018-04-13,UK048,lower_ci_values,757.1133875219115
2018-04-14,UK050,lower_ci_values,756.1120261329331
2018-04-15,UK020,lower_ci_values,755.1102090630156
2018-04-21,UK049,lower_ci_values,749.0916720463408
2018-04-22,UK043,lower_ci_values,748.0876405973975
2018-06-03,UK049,lower_ci_values,706.2632989861875
2018-06-17,UK043,lower_ci_values,692.8016957286684
2018-06-22,UK048,lower_ci_values,688.0972990713584
2018-06-26,UK020,lower_ci_values,684.3793700666524
2018-06-30,UK050,lower_ci_values,680.6859335289956
2018-09-15,UK050,lower_ci_values,606.3775066887453
2018-09-15,UK020,lower_ci_values,606.3775066887453
2018-09-15,UK049,lower_ci_values,606.3775066887453
2018-09-15,UK043,lower_ci_values,606.3775066887453
2018-12-16,UK043,lower_ci_values,486.5661789285764
2019-01-13,UK020,lower_ci_values,443.43824631468885
2019-01-26,UK049,lower_ci_values,423.3654975423899
2019-02-15,UK048,lower_ci_values,393.3380465345138
2019-04-07,UK020,lower_ci_values,328.773757281268
2019-04-13,UK049,lower_ci_values,322.59349692161487
2019-04-15,UK048,lower_ci_values,320.490233329099
2019-04-20,UK050,lower_ci_values,315.1331481808857
2019-06-22,UK049,lower_ci_values,233.4633157004636
2019-07-06,UK050,lower_ci_values,212.02849511243107
2019-07-07,UK043,lower_ci_values,210.47197717759929
2019-07-14,UK020,lower_ci_values,199.5227304347435
2019-09-18,UK048,lower_ci_values,108.01342437627488
2019-09-20,UK043,lower_ci_values,106.09574070124204
2019-09-21,UK020,lower_ci_values,105.1665689875623
2019-09-21,UK050,lower_ci_values,105.1665689875623
2019-09-21,UK049,lower_ci_values,105.1665689875623
2019-12-14,UK049,lower_ci_values,44.13164134499925
2019-12-15,UK043,lower_ci_values,43.575242236514896
2020-01-05,UK020,lower_ci_values,32.630055834847894
2020-01-25,UK050,lower_ci_values,23.38075869500608
2020-02-25,UK048,lower_ci_values,10.863297979939093
2020-09-19,UK020,lower_ci_values,-50.64313040333428
2020-09-20,UK050,lower_ci_values,-50.90181096159216
2020-09-20,UK043,lower_ci_values,-50.90181096159216
2020-12-11,UK049,lower_ci_values,-69.18073360268465
2021-06-28,UK049,lower_ci_values,-59.18257945185212
2021-07-11,UK020,lower_ci_values,-55.07988683843524
2021-09-18,UK050,lower_ci_values,-32.21031358598623
2021-09-18,UK020,lower_ci_values,-32.21031358598623
2021-09-21,UK048,lower_ci_values,-31.234482198141336
2021-09-23,UK049,lower_ci_values,-30.58766568917042
2021-12-12,UK043,lower_ci_values,-10.038029545215691
2022-01-07,UK049,lower_ci_values,-7.415649132832925
2022-01-09,UK020,lower_ci_values,-7.338758283639891
2022-04-02,UK050,lower_ci_values,-26.03689593666695
2022-04-03,UK048,lower_ci_values,-26.578101770507203
2022-04-03,UK043,lower_ci_values,-26.578101770507203
2022-04-06,UK049,lower_ci_values,-28.25436950072213
2022-04-10,UK020,lower_ci_values,-30.61341381394442
2022-06-19,UK048,lower_ci_values,-95.79594203120196
2022-07-08,UK049,lower_ci_values,-121.27805455070074
2022-07-10,UK020,lower_ci_values,-124.1455616240562
2022-09-17,UK020,lower_ci_values,-242.7686684524301
2022-09-18,UK043,lower_ci_values,-244.7449694044076
2022-09-18,UK048,lower_ci_values,-244.7449694044076
2022-09-24,UK050,lower_ci_values,-256.7412131866652
2022-10-06,UK049,lower_ci_values,-281.4254989902234
